"","human_p_val","human_avg_logFC","human_pct.1","human_pct.2","human_p_val_adj","mouse_p_val","mouse_avg_logFC","mouse_pct.1","mouse_pct.2","mouse_p_val_adj","max_pval","minimump_p_val"
"ANXA2",0,1.6525375192731,0.972,0.357,0,1.1945064148071e-38,0.699001787869487,0.839,0.385,1.6149726728192e-34,1.1945064148071e-38,0
"SAMHD1",0,1.36365446413549,0.99,0.415,0,1.83277280750824e-15,0.398246427151924,0.62,0.336,2.47790883575114e-11,1.83277280750824e-15,0
"S100A11",0,1.23765538986124,0.951,0.308,0,1.65571089781992e-46,1.06735767000398,0.985,0.855,2.23852113385253e-42,1.65571089781992e-46,0
"TMSB4X",0,1.20456768633337,1,0.994,0,9.13199012889259e-45,0.793563199852005,1,0.994,1.23464506542628e-40,9.13199012889259e-45,0
"FCER1G",0,1.19077500288672,0.968,0.391,0,2.82899582676619e-40,0.840780738351685,0.956,0.623,3.82480235778789e-36,2.82899582676619e-40,0
"JUNB",0,1.18074145162983,0.965,0.655,0,2.16000017747129e-13,0.396192354080359,0.737,0.48,2.92032023994118e-09,2.16000017747129e-13,0
"ANXA1",0,1.15500063883955,0.965,0.58,0,3.62614896788093e-31,0.820593791887632,0.781,0.425,4.90255340457502e-27,3.62614896788093e-31,0
"CYBA",0,1.08152047098638,0.999,0.86,0,2.03427802353748e-27,0.560907263100063,0.949,0.834,2.75034388782267e-23,2.03427802353748e-27,0
"CORO1A",0,1.03222497221091,0.988,0.623,0,2.64187215896624e-14,0.365094925624525,0.978,0.832,3.57181115892236e-10,2.64187215896624e-14,0
"TYROBP",0,1.02504648385294,0.955,0.403,0,1.92809984039569e-43,0.951819637703967,0.934,0.595,2.60679098421498e-39,1.92809984039569e-43,0
"ACTB",0,0.986999864355192,1,1,0,2.79867353713469e-11,0.422658581676468,1,0.998,3.7838066222061e-07,2.79867353713469e-11,0
"SPI1",0,0.967025543346207,0.91,0.381,0,5.43193876264139e-09,0.342046322813649,0.766,0.58,7.34398120709116e-05,5.43193876264139e-09,0
"S100A4",0,0.948054352263489,1,0.956,0,0.0304414821128549,0.350414329911875,0.131,0.081,1,0.0304414821128549,0
"LSP1",0,0.913813364908379,0.969,0.561,0,4.01928308378199e-19,0.531830932850593,0.65,0.338,5.43407072927325e-15,4.01928308378199e-19,0
"ZFP36",0,0.896333084424849,0.796,0.371,0,1.30869665915649e-11,0.380522682515588,0.489,0.248,1.76935788317958e-07,1.30869665915649e-11,0
"AMICA1",0,0.888774934734678,0.795,0.216,0,1.00507959177501e-37,0.336365534286321,0.168,0.018,1.35886760807981e-33,1.00507959177501e-37,0
"PFN1",0,0.761596904351193,1,0.986,0,4.14151562690466e-13,0.264137923225292,1,0.997,5.59932912757511e-09,4.14151562690466e-13,0
"RGS2",0,0.69441223532276,0.785,0.407,0,1.25819893313562e-13,0.380648949256881,0.752,0.477,1.70108495759936e-09,1.25819893313562e-13,0
"S100A6",0,0.694156988310268,0.997,0.876,0,4.80728603213616e-92,1.87525965102221,0.883,0.256,6.49945071544809e-88,4.80728603213616e-92,0
"SAT1",0,0.671422320523522,0.887,0.662,0,4.2800037781727e-14,0.505300199175994,0.715,0.484,5.78656510808949e-10,4.2800037781727e-14,0
"LCP1",0,0.66466862631852,0.949,0.668,0,1.8454633382711e-18,0.507148004479673,0.818,0.541,2.49506643334253e-14,1.8454633382711e-18,0
"ARPC5",0,0.654669535205664,0.949,0.774,0,1.50161011042027e-13,0.373039375301283,0.949,0.825,2.03017686928821e-09,1.50161011042027e-13,0
"MYL6",0,0.643016369860967,1,0.981,0,1.2617526506494e-12,0.251930846609917,0.993,0.989,1.70588958367799e-08,1.2617526506494e-12,0
"IQGAP1",0,0.606768607629942,0.828,0.47,0,9.57511100206292e-09,0.315398324270818,0.715,0.549,0.000129455500747891,9.57511100206292e-09,0
"FGR",0,0.593481605992422,0.57,0.094,0,8.90782545902493e-59,0.261175752216321,0.241,0.023,1.20433800206017e-54,8.90782545902493e-59,0
"STK17B",0,0.574476326651724,0.776,0.428,0,5.4868983919094e-15,0.463503962358651,0.401,0.172,7.41828662586151e-11,5.4868983919094e-15,0
"CD33",0,0.543721908899912,0.509,0.117,0,1.03985941094232e-71,0.473436810873212,0.38,0.047,1.40588992359402e-67,1.03985941094232e-71,0
"PTPRC",0,0.537470867906774,0.874,0.588,0,8.09684906813878e-19,0.509435615504452,0.759,0.452,1.09469399401236e-14,8.09684906813878e-19,0
"GPSM3",0,0.515522446800756,0.85,0.578,0,1.32826825884884e-13,0.394996840795339,0.774,0.524,1.79581868596364e-09,1.32826825884884e-13,0
"CNN2",0,0.513265023017416,0.7,0.396,0,4.51534275989078e-13,0.37674966476924,0.693,0.443,6.10474341137234e-09,4.51534275989078e-13,0
"NCF2",0,0.430172561273493,0.368,0.051,0,7.81072718395431e-15,0.440943420679277,0.657,0.404,1.05601031527062e-10,7.81072718395431e-15,0
"S100A9",0,0.298946890295611,0.692,0.35,0,6.3006644883527e-52,1.50231893336678,0.985,0.885,8.51849838825285e-48,6.3006644883527e-52,0
"RPLP0",0,-0.28981928881739,1,1,0,4.53025718822147e-31,-0.290056368484616,1,0.998,6.12490771847542e-27,4.53025718822147e-31,0
"EEF1A1",0,-0.299125814306378,1,1,0,3.80715345545019e-21,-0.251881585469,1,0.998,5.14727147176865e-17,3.80715345545019e-21,0
"EEF2",0,-0.41784625793484,0.99,0.993,0,1.84306571066634e-16,-0.340411428758628,0.993,0.983,2.4918248408209e-12,1.84306571066634e-16,0
"HSP90AB1",0,-0.547050662849199,0.987,0.99,0,1.03269373939458e-17,-0.3087327425351,0.993,0.987,1.39620193566148e-13,1.03269373939458e-17,0
